ID,Name,Description,Parent,Level
E.04.01,AML Prevention,The capability of the bank  to prevent money laundering by means such as client segmentation and risk based scenarios definition and management.,E.04,3
E.04.02,AML Detection,"The capability of the bank to detect a successful or attempt at money laundering thanks to watch list screening and real time money transfers, and transaction monitoring by means such as CTR/LCTR/EFT monitoring, Automated Transaction Monitoring, Aggregation and Exemption/Waiver management, etc. ",E.04,3
E.04.03,AML Investigation,The capability of the bank to investigate money laundering event and determine corrective or preventive action.,E.04,3
E.04.04,AML Analysis & Governance,"AML Analytics includes 'On-going Scenario Analysis and Tuning', Management/Operational Reporting, BSA/AML Risk Assessment. AML Governance includes Quality Assurance across AML Lifecycle, Data Governance, Policies and Procedures, Compliance. ",E.04,3
E.04.04.01,Watch List Screening Management,Capability to manage lists related to Client/Vendor Screening ,E.04.04,4
E.04.04.02,Regulatory Filing,"Regulatory Filing includes Electronic Filing, Automated Quality Controls.",E.04.04,4
E.05,Fraud Management,,E,2
E.05.01,Fraud Prevention,This capability allows the bank to take steps to prevent crime from occurring,E.05,3
E.05.02,Fraud Detection,This is the capability to detect a potential or successful or attempt at fraud,E.05,3
E.05.03,Fraud Investigation,"This is the capability of the bank to investigate a fraud event, assess the loss and determine the corrective and preventive action.",E.05,3
E.05.04,Fraud Loss Recovery,This capability addresses the bank's ability to recover funds after a crime event,E.05,3
E.06,"Finance, Tax & Accounting",,E,2
E.06.01,"Planning, Forecasting & Budgeting","This is the bank?s capability to create a business plan in terms of business goals to be achieved and to time the plan for achieving these business goals. Business Plan is created at multiple operating unit levels and aggregated at the enterprise level.
Forecasting is the capability of the bank to identify the likely trends that will have an impact on its operations. These forecasts are based on internal research and are used to create the business plans.
Capability of the bank to budget its business volumes for the future. Bank typically budget the business volumes, to be achieved in a financial year, with interim budgets for different operating periods, to monitor the progress in achieving the budgeted goals.",E.06,3
E.06.02,General Accounting / Process Transactions,"This capability includes the recording of financial events and documenting and managing the classification of transactional elements which allow for accurate identification, aggregation and reporting of financial transactions. This also includes the reporting of all the business accounts and their balances in the form of trial balances. Common business accounts include, but not limited to, maintaining chart of accounts, journalizing transaction details, reconciling general ledger accounts, preparing trial balances etc.",E.06,3
E.06.03,Tax Management,"The capability of the bank to manage its tax compliance by establishing tax strategies and having effective tax management functions enabling tax planning, accounting and audits.",E.06,3
E.06.04,Transfer & Reconciliation with General Ledger,"This capability includes the reconciliation of debit and credit balances of the posted documents, with debit and credit balances of the transactions figures in the accounts payable, accounts receivable and general ledger, to check the accuracy of data in the system and subsequently complete various closing activities example, foreign currency valuation of assets, prepaid expenses and unearned revenue adjustments, analysis of the purchase orders in process and clearing of accounts.",E.06,3
E.06.05,Securitization,"This is  a capability of pooling various types of contractual debt such as residential mortgages, commercial mortgages, auto loans or credit card debt obligations and selling derived products to investors.",E.06,3
E.06.06,Financial Reporting & Analysis,"This capability includes preparation and review of business unit financial statements, consolidated financial statements, cost management reports, quarterly/annual filings, shareholder reports, regulatory reports and performing legal and management consolidation. Financial reporting has following two aspects: 
   - Internally, it allows management to track their financial position and make educated decisions. 
   - Externally, it allows stockholders, bond holders, other possible investors etc., to track the company's performance and make educated investment decisions.",E.06,3
E.07,Treasury Management,,E,2
E.07.01,Dealing Desk Management,This is the capability of the bank to set up and manage the dealing desks for doing proprietary treasury deals. The bank organizes the dealing functions in terms of asset classes traded and defines the risk management controls in terms of trading limits.,E.07,3
E.07.02,Internal Funding Management,The ability to monitor the bank's own accounts and ensure that business units have funds available to meet their operational needs,E.07,3
E.07.03,Liquidity Management,"The capability of the bank to manage the liquidity requirements, the balance between its assets (loans) and liabilities (deposits) , interest rate mismatches etc. The bank also ensures that: 
   - There are no idle funds 
   - Reserve requirements are complied with 
   - Foreign currency requirements for its trade finance operations are provided 
   - Cash requirements at its branch / ATMs are met",E.07,3
E.07.04,Credit Rating Management,"The capability of the bank to manage appropriate cash position, capital balance, reserves, risks and to work with agencies and organizations to maintain and improve the bank?s credit rating.",E.07,3
E.07.05,Capital Structure Management,It is the capability of the bank to facilitate the credit rating for different types of debt originations for various corporate and government entities as well as for any issuance of the bank.. The capability includes having consultations with different rating agencies and providing the relevant data and information on behalf of the Issuer for getting the desired ratings.,E.07,3
E.08,Compliance,,E,2
E.08.01,Compliance Governance & Oversight,"This capability includes: 
- Global Compliance Manual
- Keeping current on Canadian , US & International rules, regulations and regulatory environment
- Mapping applicable regulations to TD policies & procedures
- Translating rules & regulations into scenarios & parameters
- Compliance advisory",E.08,3
E.08.01.01,Compliance Requirements Management,Capability of the bank to identify compliance requirements. The compliance requirements are of two types: internal and regulatory. ,E.08.01,4
E.08.01.02,Compliance Controls Implementation,Capability of the bank to put in place the processes and procedures to ensure that the compliance controls are implemented,E.08.01,4
E.08.02,Compliance Surveillance & Monitoring,"Establish a watch over the application of internal/external compliance requirements, detecting and managing incidents of non-compliance",E.08,3
E.08.03,Analysis & Investigation,The ability to analyse and investigate incidents of non-compliance,E.08,3
E.08.04,Regulatory Reporting,The ability of the bank to comply with the requirements for timely submission of the mandated reports to the regulatory bodies with full disclosure. This includes execute regulatory filings and approvals. These include the approvals required for its operations and the approvals that the bank does on behalf of its customer.,E.08,3
E.09,Legal,,E,2
E.09.01,Legal Contract Design,"This is the capability of the bank to design legal contracts that need to be executed by the bank?s clients or counterparties. In the course of its business, bank needs to enter into the legal contracts with the clients for the products and services offered to them such as, loan products. The bank also needs to enter into legal contracts with other counterparties, like vendors etc. Therefore, the bank needs to ensure that the terms of the contract are in conformity with the legal requirements and take care of bank?s interests.",E.09,3
E.09.02,Legal Proceedings Management,"The capability of the bank to manage the legal proceedings initiated by it or initiated against it in a court of law. When a dispute is referred for legal action by the bank or against the bank, the bank needs to ensure that all the requirements relating to the legal proceedings like presentation of its case, adherence to the requirements of the court etc., are met to ensure a favorable judgment.",E.09,3
E.09.03,Legal Advice,"The capability of the bank to provide legal advice required by its lines of business or operating units. In the course of their business, lines of business or operating units require legal advice on various issues like dispute management with counterparties, product design, etc. The bank needs to ensure that the proper systems are in place so that the lines of business and operating units get the necessary legal advice within the required time.",E.09,3
E.09.04,Intellectual Property Management,This is the bank?s capability to ensure that its intellectual property rights are protected through patents and legal action is initiated for any violation of these rights.,E.09,3
E.10,Human Resources,,E,2
E.10.01,HR Planning Policies & Strategies," This is the capability to develop and manage the H/R planning policies and strategies. The capability includes: 
   - Identifying tactical and strategic H/R needs 
   - Defining H/R business function roles and accountability 
   - Defining/refining H/R policies (induction, compensation/benefits, promotion, separation etc.) 
   - Determining H/R costs and establishing H/R measures 
   - Communicating H/R strategies and plans and providing updates to the stakeholders 
   - Measuring the realization of objectives
This capability includes the set of processes pertaining to: 
   - Selecting recruiting methods 
   - Performing recruiting activities 
   - Holding/ participating in recruiting events 
   - Managing recruitment vendors",E.10,3
E.10.02,"Employee Recruitment, Sourcing & Selection","This is the capability of creating and developing employee requisitions, recruiting and sourcing candidates, screening and selecting candidates, managing pre-placement verification, managing new hires/re-hires and tracking candidates.

Talent Management and Diversity includes:
   - Recruiting Services
   - Campus Recruitment
   - Executive Search
   - Diversity Management and Planning
   - On boarding process
   - Executive Tracking
   - Diversity Surveys",E.10,3
E.10.03,Organization Design & Performance,"This capability includes:
   - Development & Career Planning
   - Performance Assessment
   - Couching/ Counseling
   - Position Management
   - 360 Process
   - Job Titling
   - Reporting",E.10,3
E.10.04,Employee Management,The ability of the bank to perform the tasks related to day to day managing of employees.,E.10,3
E.10.04.01,Employment Information Management,The capability of the bank to perform lifecycle management of employee information,E.10.04,4
E.10.04.02,Employee Role Management,The ability of the bank to assign employees to specific positions (e.g. job titles) and general roles and maintain information about those assignments,E.10.04,4
E.10.04.03,Employee Time Management,The ability of the  bank to manage employee time at work and time away according to relevant policies and regulations.,E.10.04,4
E.10.04.04,Employee Reward & Retention,"The capability includes:
   - Developing and managing reward, recognition and motivation programs 
   - Managing employee assistance and retention 
   - Managing and administering employee benefits",E.10.04,4
E.10.05,Payroll Processing,"This capability includes the calculation of salaries, commissions, bonuses and deductible amounts as per the stated payroll policies and procedures.",E.10,3
E.10.06,Health & Safety,Manage the process of advising and monitoring employees around health and safety,E.10,3
E.10.07,Learning & Development,"This capability includes: 
   - Design, Develop & Deliver learning solutions
   - Class-room based, eLearning ,Webinars & print materials
   - Executive Training activities
   - Governance of external L&D vendors
   - Provide L&D application support
   - Course Evaluation
   - Continuing Educations
   - L&D Reporting",E.10,3
E.11,Process & Change Management,,E,2
E.11.01,Program & Project Management,The ability to manage programs and projects in a structured manner,E.11,3
E.11.02,Process Management,"The ability to model, design, implement, measure, control, report on and improve processes.",E.11,3
E.11.02.01,Process Governance,The ability to develop and execute a governance program for processes.  Includes maintaining framework and catalog of all processes.,E.11.02,4
E.11.02.02,Process Quality & Optimization,"The ability to ensure process quality against process policies and procedures, objectives, goals and expected result, as well as the ability to streamline, lean and optimize process execution.",E.11.02,4
E.11.03,Change Management,The capability of the bank to manage change events on the organization. ,E.11,3
E.11.03.01,Define Change Management Strategy ,"The capability of the bank to define an overall approach to change in the organization. This includes high level goals and objectives for change, conducting stakeholder alignment, accomplish change impact assessment, executing the change, training the personnel and measuring change effectiveness ",E.11.03,4
E.11.03.02,Change Impact Assessment,"The capability of the bank to identify and address impacts to the business due to planned change(s). It includes evaluation of risks (including impact on resources, effort and schedule) and any impact to existing processes, procedures, or operating  models.",E.11.03,4
E.11.03.03,Change Planning,"The capability of the bank to plan and manage the change from the current state to the proposed target state.  Change can be managed at the enterprise, line-of-business, or more granular levels.",E.11.03,4
E.11.03.04,Training Plan Management,The capability of the bank to ensure relevant skills are planned to be delivered so that employees can operate effectively and efficiently in the proposed environment.  This capability includes design and development of role-based training and performance.,E.11.03,4
E.11.03.05,Change Readiness Assessment,"The capability of the bank to facilitate and measure change readiness to ensure that stakeholder groups are prepared not only for a successful transition, but also to sustain the change.",E.11.03,4
E.11.03.06,Change Execution Monitoring,"The capability of the bank to ensure that change execution is implemented as planned. This capability also includes monitoring any deviations from plan, and executes corrective action where necessary. ",E.11.03,4
E.11.04,Case Management,The ability to manage long running work flow performed in a structured or partly-structured way.,E.11,3
E.12,Information Technology,,E,2
E.12.01,IT Strategy,This is the capability of the bank to articulate the goals and vision for IT and ensure the alignment of IT and business strategy. This also includes Technology Architecture and  Innovation.,E.12,3
E.12.01.01,Enterprise Architecture Management,"The capability of the bank to capture, maintain and evolve the enterprise wide architecture of the bank and also lay down the standards and guidelines including taxonomy, procedures, templates and tools for all infrastructure and technology developments of the bank. This includes alignment with business strategy, increased agility, improved quality of information and ability to generate potential cost savings through initiatives such as re-use of building block components",E.12.01,4
E.12.01.02,Technology Innovation,"The capability of the bank to maintain an awareness of information technology and related service trends, identify innovation opportunities, and plan how to benefit from innovation in relation to business needs. This includes analysis of what opportunities for business innovation or improvement can be created by emerging technologies, services or IT enabled business innovation, as well as through existing established technologies and by business and IT process innovation. Influence strategic planning and enterprise architecture decisions.",E.12.01,4
E.12.02,IT Portfolio Management,The capability of the bank to manage and maintain portfolios of IT services and IT assets.,E.12,3
E.12.02.01,Technology Assets and Services Management,"Manage and track logical IT assets (such as applications, services, processes, enterprise reference model) and their associated linkages. Manage and track technology product portfolio especially around currency and associated business impact.",E.12.02,4
E.12.02.02,Data & Information Management,"Provide governance and oversight of  business information and data such as repositories housing the data and associated linkages to managing applications, consuming application, enterprise information reference models and associated sensitivity profiles.",E.12.02,4
E.12.03,Business Process Integration,"Provide ability to integrate business processes internal to enterprise to enhance operational efficiency, to orchestrate business processes based on centralized rules and to integrate business processes external to enterprise with partners.",E.12,3
E.12.04,Solution Development,"The capability of the bank to perform technology solution design, solution acquisition, solution management, software solution development/ SDLC.",E.12,3
E.12.05,Service Level Management,"The capability of the bank to perform SLA Management, quality assurance, manage IT services/ITIL, manage user support services, client communication.",E.12,3
E.12.05.01,"Service Requests, Change & Incidents Management","Ability to insure timely and effective response to user requests and resolution of all types of incidents. Restore normal service; record and fulfil user requests; and record, investigate, diagnose, escalate and resolve incidents.",E.12.05,4
E.12.05.02,Problem Management,Identify and classify problems and their root causes and provide timely resolution to prevent recurring incidents. Provide recommendations for improvements.,E.12.05,4
E.12.06,Technology Operations Management,"This is the capability of the bank to operate and manage the information technology infrastructure to ensure proper functioning of the bank. This includes Co-ordination and execution of the activities and operational procedures required to deliver internal and outsourced IT services, including the execution of pre-defined standard operating procedures and the required monitoring activities.",E.12,3
E.12.06.01,Operations Management,"Provide ability to monitor, manage and schedule different activities associated with infrastructure operations such as backup, recovery, archiving,  uptime monitoring and performance.",E.12.06,4
E.12.06.02,Security Management,Ability to protect enterprise information to maintain the level of information security risk acceptable to the enterprise in accordance with the security policy. Establish and maintain information security roles and access privileges and perform security monitoring.,E.12.06,4
E.12.06.03,Configuration Management,"Define and maintain descriptions and relationships between key resources and capabilities required to deliver IT-enabled services, including collecting configuration information, establishing baselines, verifying and auditing configuration information, and updating the configuration repository. This includes managing and tracking information about infrastructure configuration such as versions, platforms, products, linkages to servers and cost charge backs.",E.12.06,4
E.12.06.04,Availability & Capacity Planning,"This is the capability to balance current and future needs for availability, performance and capacity with cost-effective service provision. Include assessment of current capabilities, forecasting of future needs based on business requirements, analysis of business impacts, and assessment of risk to plan and implement actions to meet the identified requirements.",E.12.06,4
E.12.06.05,Disaster Recovery Planning,Establish and maintain a plan to enable IT to respond to incidents and disruptions in order to continue operation of critical business processes and required IT services and maintain availability of information at a level acceptable to the enterprise.,E.12.06,4
E.13,Real Estate & Facility Management,,E,2
E.13.01,Property Acquisition Strategy,"Property Acquisition Strategy is important as real estate is a means to support institutional objectives and larger needs of the organization. The property acquisition strategy takes into account the business needs: contract events, leaner budgets, service shifts, financing, workforce reorganization and change. The property acquisition strategy involves understanding, planning and engagement of the available funds and business benefits payback, the required support from other areas of the business such as IT, H/R etc. and operational limitations. It also involves relocating people and operations and changing working habits and culture.",E.13,3
E.13.02,Facility Management,"The capability includes a set of processes pertaining to coordination and overseeing the safe, secure and environmentally sound operations and maintenance of real estate assets in a cost effective manner aimed at long-term preservation of the asset value.",E.13,3
E.13.02.01,Facility Design & Build,This is the capability to define requirement for physical infrastructure specific to the bank?s needs and manage the construction. ,E.13.02,4
E.13.02.02,Facility Security,Provide services to secure physical /real estate properties.,E.13.02,4
E.13.02.03,Facility Disposal,The property disposal process comprises two distinct stages. First is the development of the most appropriate disposal strategy and second relates to the implementation of the agreed strategy.,E.13.02,4
E.14,Enterprise Information Management,,E,2
E.14.01,Content Management,"The capability of the bank to support the collection, managing and publishing of information in any form or medium. ",E.14,3
E.14.01.01,Digital Asset Management,"Provide ability to store, track and manage rich, digital assets for reuse across the enterprise",E.14.01,4
E.14.01.02,Content Rules Management,Manage rules driven generation of enterprise content.,E.14.01,4
E.14.01.03,Content Collaboration & Workflow Management,"Provide capability for collaborative, workflow based of enterprise content life cycle.",E.14.01,4
E.14.02,Knowledge Management,"The capability of the bank to manage knowledge frameworks, create and share knowledge assets, support knowledge management services and applications. ",E.14,3
E.14.02.01,Knowledge Management Framework,"The capability of the bank to provide an overall methodology to create, manage and measure the knowledge sharing and management across the bank. This capability also covers the usage of tools and methods to disseminate knowledge.",E.14.02,4
E.14.02.02,Knowledge Asset Management ,The capability of the bank  to create and manage knowledge assets.,E.14.02,4
E.14.02.03,Knowledge Sharing,The capability of the bank to share and apply banking information and / or expertise across the organization.,E.14.02,4
E.14.03,Document Management,"The capability of the bank to manage the creation, usage, storage and destruction of physical or electronic documents and forms.  It includes originating documents from various sources, to scan and index documents and generate default metadata for digital usage, to manage the physical disposition of documents and the security associated with it, to define the process and technology benchmark for the mechanisms and policies of retrieving and releasing documents, to define the process and technology benchmark for versioning and controlling documents, to destroy all document-types including both physical and electronic documents. ",E.14,3
E.14.04,Industry Information & Standards,"The capability of the bank to perform Information Requirements Identification, Business Information Sourcing, Business Information Maintenance and Business Information Distribution.",E.14,3
E.14.04.01,Information Requirements Identification,"The capability of the bank to determine the industry standard information is required for its business. The bank requires a variety of information (such  as Securities Data, Currency Data, FX Rates, BIC Codes, Messaging Standards, etc.",E.14.04,4
E.14.04.02,Business Information Sourcing,"The capability of the bank to source its business information requirement from the appropriate sources, and to ensure that clean data (data without errors) is obtained preferably from the primary source of the data at the best possible price.",E.14.04,4
E.14.04.03,Business Information Maintenance,Capability of the bank to ensure that the business information it has sourced is refreshed at the correct periodicity and is maintained current.,E.14.04,4
E.14.04.04,Business Information Distribution,"Capability of the bank to ensure that the business information is distributed to the business units that require them, maintaining the data integrity.",E.14.04,4
E.14.05,Information Governance & Management,The ability of the organization to govern and manage information collected or created in the process of carrying out its business,E.14,3
E.15,Partner & Stakeholder Relationship Management,,E,2
E.15.01,Partner Selection & Contracting,This capability supports the activities required to select a suitable partner for a specific purpose and enter into a contract to execute the partnership.,E.15,3
E.15.02,Procurement & Contract Management,"The capability of the bank to perform Contracts / Agreement Management, Purchase Order Management, Invoice Payment Management, Sourcing Performance Management, Procurement Strategy Management, Sourcing/Vendor Management.",E.15,3
E.15.02.01,Inventory Order Management,"Based on an understanding of expected demand and strategies for inventory level, generate an manage life cycle of an order to the appropriate supplier.",E.15.02,4
E.15.03,Partner Management,This is the capability of the bank to continuously monitor and assess the performance of the partnership and handle any variance or disputes.,E.15,3
E.15.03.01,Partner Needs Analysis,This capability enables the bank to identify the need for a partner and defines the requirements for a partner to deliver the service to the bank.,E.15.03,4
E.15.03.02,Partner Relationship Management,"This is the capability to monitor the partnership activities to ensure that the service levels are adhered to as per the contract,  and to assess the performance of the partnership on a periodic basis.",E.15.03,4
E.15.04,Internal Communications ,"The capability of the bank to understand and establish communication requirements of the stakeholders, and provide timely and accurate reporting on services being provided and performance metrics.",E.15,3
E.15.05,External Communications,Manage the process to communicate with external  stakeholders. Includes distribution of reports.,E.15,3
